# Sources of data:
#
# * Frequency and Stroke Counts of Chinese Characters
#   http://technology.chtsai.org/charfreq/
#
# - Mandarin Syllable Frequency Counts for Chinese Characters
#   http://technology.chtsai.org/syllable/
#
# Both are put under GPL by Chih-Hao Tsai.
#
# char	rank	pinyin
#
京	1339	jing1
傻	1340	sha3
耳	1341	er3
映	1342	ying4
託	1343	tuo1
恩	1344	en1
鴻	1345	hong2
妙	1346	miao4
辯	1347	bian4
媒	1348	mei2
吵	1349	chao3
擬	1350	ni3
違	1351	wei2
憂	1352	you1
桌	1353	zhuo1
拼	1354	pin1
銷	1355	xiao1
藉	1356	jie4
胖	1357	pan2
屋	1358	wu1
域	1359	yu4
船	1360	chuan2
勞	1361	lao2
洞	1362	dong4
寢	1363	qin3
井	1364	jing3
徐	1365	xu2
川	1366	chuan1
奈	1367	nai4
戶	1368	hu4
乘	1369	cheng2
額	1370	e2
倍	1371	bei4
農	1372	nong2
擺	1373	bai3
塞	1374	sai1
橫	1375	heng2
賀	1376	he4
皇	1377	huang2
拖	1378	tuo1
怨	1379	yuan4
牙	1380	ya2
齊	1381	qi2
逃	1382	tao2
障	1383	zhang4
賺	1384	zhuan4
滾	1385	gun3
干	1386	gan1
譜	1387	pu3
烏	1388	wu1
瞭	1389	liao3
戴	1390	dai4
搬	1391	ban1
鬆	1392	song1
瓜	1393	gua1
迫	1394	po4
嚇	1395	xia4
奶	1396	nai3
棋	1397	qi2
鬧	1398	nao4
盛	1399	sheng4
摸	1400	mo1
尺	1401	chi3
伙	1402	huo3
染	1403	ran3
佩	1404	pei4
酷	1405	ku4
床	1406	chuang2
孫	1407	sun1
牠	1408	ta1
屁	1409	pi4
醉	1410	zui4
震	1411	zhen4
鎖	1412	suo3
凱	1413	kai3
損	1414	sun3
潮	1415	chao2
泰	1416	tai4
役	1417	yi4
伍	1418	wu3
冬	1419	dong1
桃	1420	tao2
聰	1421	cong1
乙	1422	yi3
迴	1423	hui2
競	1424	jing4
崇	1425	chong2
撞	1426	zhuang4
厲	1427	li4
淨	1428	jing4
牽	1429	qian1
羊	1430	yang2
惑	1431	huo4
溪	1432	qi1
帽	1433	mao4
眠	1434	mian2
巷	1435	xiang4
溝	1436	gou1
俗	1437	su2
宋	1438	song4
飄	1439	piao1
淺	1440	qian3
獻	1441	xian4
麵	1442	mian4
艦	1443	jian4
滑	1444	hua2
榜	1445	bang3
圈	1446	quan1
庭	1447	ting2
縱	1448	zong4
閃	1449	shan3
蓮	1450	lian2
麥	1451	mai4
邦	1452	bang1
耀	1453	yao4
旋	1454	xuan2
閱	1455	yue4
諒	1456	liang4
紫	1457	zi3
攝	1458	she4
儀	1459	yi2
妨	1460	fang2
審	1461	shen3
描	1462	miao2
洽	1463	qia4
毀	1464	hui3
逐	1465	zhu2
陪	1466	pei2
填	1467	tian2
踏	1468	ta4
跌	1469	die2
藤	1470	teng2
慕	1471	mu4
勒	1472	lei1
闆	1473	ban3
殊	1474	shu1
姊	1475	jie3
憑	1476	ping2
